library_index,id,name,status,cuisine,family_id,form,staples,core_ingredients,unknown_role,optional_ingredients,generation_optional_ingredients,liquid_ingredients,substitution_slots,discouraged,technique,ratio_rules,safety_rules,total_time_minutes,purposes,source_count,static_status,verification_status,missing_fields
59,chicken-leg-mushroom-stewed-rice,鸡腿香菇土豆烩饭,auto_approved,中式家常,family-home-stewed-rice,烩饭,熟米饭,鸡腿肉｜鲜香菇,,香葱｜土豆,香葱｜土豆｜口蘑｜平菇,水,"{""slot"":""食用菌"",""replaces"":[""鲜香菇""],""allowed"":[""口蘑"",""平菇""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入本配方。""}",同锅把鸡腿肉、鲜香菇和用户提供的土豆小块煮至鸡腿肉中心达到74摄氏度且土豆熟软。｜加入熟米饭烩至全锅滚热并吸收汤汁。,每100克熟米饭使用约70克汤汁。｜每100克熟米饭配约50克鸡腿肉和30克鲜食用菌；使用土豆时控制在40至50克。,鸡腿肉最厚处中心必须达到74摄氏度且无粉红生肉。｜鲜香菇彻底熟软；使用土豆时不得夹生且不得使用发芽土豆。,40,pantry｜comfort｜fresh,1,complete,pending,
60,tomato-chicken-leg-soup-rice,番茄鸡腿土豆汤饭,auto_approved,中式家常,family-home-soup-staple,汤饭,熟米饭,鸡腿肉｜番茄,,青菜｜土豆,青菜｜土豆｜小白菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入本配方。""}",同锅把鸡腿肉、番茄和用户提供的土豆小块煮成滚汤，确认鸡腿肉中心达到74摄氏度且土豆熟软。｜加入熟米饭煮至整锅再次滚热。,每100克熟米饭使用约180克汤水。｜每100克熟米饭配约50克鸡腿肉和60克番茄；使用土豆时控制在40至50克。,鸡腿肉最厚处中心必须达到74摄氏度且无粉红生肉。｜熟米饭必须充分复热；使用土豆时不得夹生且不得使用发芽土豆。,40,pantry｜comfort｜batch,1,complete,pending,
61,corn-carrot-chicken-leg-covered-rice,玉米土豆鸡腿饭锅,auto_approved,中式家常,family-home-covered-pot,饭锅,大米,鸡腿肉｜玉米｜胡萝卜,玉米,香葱,香葱｜土豆,水,"{""slot"":""配色蔬菜"",""replaces"":[""胡萝卜""],""allowed"":[""土豆""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入替换位。""}",同锅加入大米、量好的水、鸡腿肉、玉米和胡萝卜；用户提供土豆时以土豆替代胡萝卜。｜加盖焖至米饭和蔬菜熟透，并确认鸡腿肉中心达到74摄氏度。,每100克大米使用约140克可用总液体。｜每100克大米配约55克鸡腿肉和合计45克玉米与胡萝卜或土豆。,鸡腿肉最厚处中心必须达到74摄氏度且无粉红生肉。｜米饭不得夹生；使用土豆时须熟软且不得使用发芽土豆。,45,pantry｜fresh｜batch,1,complete,pending,
62,cabbage-potato-chicken-leg-braised-noodles,白菜土豆鸡腿焖面,auto_approved,中式家常,family-northern-braised-noodles,焖面,面条,鸡腿肉｜白菜｜土豆,,香葱,香葱｜娃娃菜,水,"{""slot"":""白菜"",""replaces"":[""白菜""],""allowed"":[""娃娃菜""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入本配方。""}",同锅把鸡腿肉与土豆煮至接近熟透。｜铺入面条加盖焖至无硬芯，后段加入白菜，并确认鸡腿肉中心达到74摄氏度。,每100克干面条使用约180克焖煮液体。｜每100克干面条配约60克鸡腿肉和合计90克白菜土豆。,鸡腿肉最厚处中心必须达到74摄氏度且无粉红生肉。｜面条和土豆不得夹生，白菜洗净并熟软。,45,pantry｜comfort｜fresh,1,complete,pending,
63,greens-sausage-fried-rice,青菜香肠炒饭,auto_approved,中式家常,family-home-fried-rice,炒饭,熟米饭,青菜｜香肠,香肠,香葱,香葱｜小白菜｜小油菜,,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""不明熟制状态的香肠""],""reason_type"":""safety"",""reason"":""无法确认生制或预熟状态时不得缩短熟制过程。""}",同锅把香肠充分炒热；生制香肠须确认中心达到71摄氏度。｜加入熟米饭炒热，后段加入青菜并炒至熟软。,每100克熟米饭配约25克香肠和35克青菜。｜先核对香肠标签咸度，再决定调味用量。,生制香肠中心必须达到71摄氏度，预熟香肠也必须彻底热透。｜青菜洗净并炒至熟软，冷藏熟米饭使用时必须充分复热。,25,pantry｜quick｜fresh,1,complete,pending,
64,greens-minced-pork-braised-rice,青菜肉末焖饭,auto_approved,中式家常,family-home-braised-rice,焖饭,大米,青菜｜猪肉末,,鲜香菇,鲜香菇｜小白菜｜小油菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""大块猪肉""],""reason_type"":""timing"",""reason"":""本配方锁定猪肉末，避免肉块中心熟制与米饭时间失配。""}",同锅把猪肉末炒散，再加入大米和量好的水加盖焖煮。｜后段加入青菜，继续焖至米饭熟透且猪肉末中心达到71摄氏度。,每100克大米使用约135克可用总液体。｜每100克大米配约45克猪肉末和40克青菜。,猪肉末中心必须达到71摄氏度且无粉红生肉。｜米饭不得夹生，青菜洗净并焖至熟软。,35,pantry｜comfort｜batch,1,complete,pending,
65,cabbage-egg-soup-rice,青菜鸡蛋汤饭,auto_approved,中式家常,family-home-soup-staple,汤饭,熟米饭,白菜｜鸡蛋,,香葱,香葱｜娃娃菜｜青菜,水,"{""slot"":""白菜"",""replaces"":[""白菜""],""allowed"":[""娃娃菜"",""青菜""]}","{""ingredients"":[""流心鸡蛋""],""reason_type"":""safety"",""reason"":""本汤饭不提供流心终点。""}",只使用做熟后及时冷藏且保存状态可靠的熟米饭；同锅把白菜或用户提供的青菜煮软，并加入熟米饭充分复热。｜淋入鸡蛋液，在滚汤中煮至蛋白和蛋黄完全凝固。,每100克熟米饭使用约180克汤水。｜每100克熟米饭配约35克蛋液和60克白菜或替代青菜。,鸡蛋必须熟透，蛋白和蛋黄完全凝固，不得流心。｜只使用做熟后及时冷藏且保存状态可靠的熟米饭，并充分复热；青菜等叶菜洗净并煮熟。,25,pantry｜quick｜comfort,1,complete,pending,
66,greens-tofu-vermicelli-pot,青菜豆腐粉丝煲,auto_approved,中式家常,family-home-vermicelli-pot,粉丝煲,,粉丝｜青菜｜老豆腐,粉丝,鲜香菇,鲜香菇｜小白菜｜娃娃菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""娃娃菜""]}","{""ingredients"":[""需提前泡发的粉丝""],""reason_type"":""timing"",""reason"":""本配方不隐藏提前处理，使用可直接入锅的干粉丝。""}",同锅煮沸量好的水并加入老豆腐热透。｜加入粉丝煮软，后段加入青菜并煮至熟软。,每50克干粉丝使用约450克汤水。｜每50克干粉丝配约100克老豆腐和80克青菜。,老豆腐中心必须热透，粉丝无硬芯。｜青菜洗净并煮至熟软。,30,pantry｜quick｜comfort,1,complete,pending,
67,greens-chicken-leg-soup-noodles,青菜鸡腿汤面,auto_approved,中式家常,family-home-soup-staple,汤面,面条,青菜｜鸡腿肉,,鲜香菇,鲜香菇｜小白菜｜小油菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""带骨大鸡腿""],""reason_type"":""timing"",""reason"":""本配方锁定切小块鸡腿肉，以便与面条时限同步。""}",同锅把鸡腿肉小块煮至接近安全终点。｜加入面条煮熟，后段加入青菜，并确认鸡腿肉最厚处中心达到74摄氏度。,每100克干面条使用约550克汤水。｜每100克干面条配约70克鸡腿肉和70克青菜。,鸡腿肉最厚处中心必须达到74摄氏度且无粉红生肉。｜面条无硬芯，青菜洗净并煮至熟软。,35,pantry｜comfort｜fresh,1,complete,pending,
68,green-bean-pork-rib-braised-rice,豆角排骨焖饭,auto_approved,中式家常,family-home-braised-rice,焖饭,大米,猪肋排｜豆角,,鲜香菇,鲜香菇｜土豆,水,"{""slot"":""耐煮蔬菜"",""replaces"":[""豆角""],""allowed"":[""土豆""]}","{""ingredients"":[""超大块排骨""],""reason_type"":""timing"",""reason"":""排骨块过大会使肉类中心终点与米饭熟度不同步。""}",同锅把猪肋排煮至接近熟透，再加入大米和豆角；用户提供土豆时以土豆替代豆角。｜加入量好的水加盖焖至米饭熟透、排骨中心达到74摄氏度，使用豆角时确认完全熟透。,每100克大米使用约145克可用总液体。｜每100克大米配约70克猪肋排和55克豆角或土豆。,排骨最厚可食部分中心必须达到74摄氏度。｜豆角必须完全熟透、失去生绿色且无豆腥味；使用土豆时须熟软且不得发芽变绿。,55,pantry｜comfort｜batch,1,complete,pending,
69,potato-pork-rib-stewed-rice,土豆排骨烩饭,auto_approved,中式家常,family-home-stewed-rice,烩饭,熟米饭,猪肋排｜土豆,,香葱,香葱｜豆角,水,"{""slot"":""耐煮蔬菜"",""replaces"":[""土豆""],""allowed"":[""豆角""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入本配方。""}",同锅把猪肋排与土豆炖煮；用户提供豆角时以豆角替代土豆并煮至完全熟透。｜确认排骨中心达到74摄氏度后加入熟米饭，烩至充分复热并吸收汤汁。,每100克熟米饭使用约90克排骨汤汁。｜每100克熟米饭配约60克猪肋排和50克土豆或豆角。,排骨最厚可食部分中心必须达到74摄氏度。｜豆角必须完全熟透、失去生绿色且无豆腥味；使用土豆时须熟软且不得发芽变绿。,55,pantry｜comfort｜batch,1,complete,pending,
70,tomato-potato-pork-rib-covered-rice,番茄土豆排骨饭锅,auto_approved,中式家常,family-home-covered-pot,饭锅,大米,猪肋排｜番茄｜土豆,,香葱,香葱｜豆角,水,"{""slot"":""耐煮蔬菜"",""replaces"":[""土豆""],""allowed"":[""豆角""]}","{""ingredients"":[""额外番茄汁""],""reason_type"":""texture_water"",""reason"":""未计入总液体的番茄汁会使米饭过湿。""}",同锅把猪肋排煮至接近熟透，再加入大米、番茄和土豆；用户提供豆角时以豆角替代土豆。｜计入番茄汁后补足总液体，加盖焖至米饭熟透、排骨中心达到74摄氏度，豆角使用时完全熟透。,每100克大米使用包含番茄汁在内约145克可用总液体。｜每100克大米配约70克猪肋排和50克土豆或豆角。,排骨最厚可食部分中心必须达到74摄氏度。｜豆角必须完全熟透、失去生绿色且无豆腥味；使用土豆时须熟软且不得发芽变绿。,60,pantry｜comfort｜batch,1,complete,pending,
71,mushroom-green-bean-pork-rib-braised-rice,香菇豆角排骨焖饭,auto_approved,中式家常,family-home-braised-rice,焖饭,大米,猪肋排｜鲜香菇｜豆角,,香葱,香葱｜土豆,水,"{""slot"":""耐煮蔬菜"",""replaces"":[""豆角""],""allowed"":[""土豆""]}","{""ingredients"":[""干香菇未泡发""],""reason_type"":""timing"",""reason"":""本配方锁定鲜香菇，不隐藏提前泡发步骤。""}",同锅把猪肋排煮至接近熟透，再加入大米、鲜香菇和豆角；用户提供土豆时以土豆替代豆角。｜加入量好的水加盖焖至米饭熟透、排骨中心达到74摄氏度，使用豆角时确认完全熟透。,每100克大米使用约145克可用总液体。｜每100克大米配约70克猪肋排和合计65克鲜香菇与豆角或土豆。,排骨最厚可食部分中心必须达到74摄氏度。｜豆角必须完全熟透、失去生绿色且无豆腥味；使用土豆时须熟软且不得发芽变绿。,60,pantry｜comfort｜batch,1,complete,pending,
72,cabbage-potato-pork-rib-soup-rice,白菜土豆排骨汤饭,auto_approved,中式家常,family-home-soup-staple,汤饭,熟米饭,猪肋排｜白菜｜土豆,,香葱,香葱｜豆角,水,"{""slot"":""耐煮蔬菜"",""replaces"":[""土豆""],""allowed"":[""豆角""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入本配方。""}",同锅把猪肋排与土豆炖煮；用户提供豆角时以豆角替代土豆并煮至完全熟透。｜确认排骨中心达到74摄氏度后加入白菜和熟米饭，煮至整锅滚热。,每100克熟米饭使用约200克排骨汤水。｜每100克熟米饭配约60克猪肋排和合计80克白菜与土豆或豆角。,排骨最厚可食部分中心必须达到74摄氏度。｜豆角必须完全熟透、失去生绿色且无豆腥味；使用土豆时须熟软且不得发芽变绿。,55,pantry｜comfort｜batch,1,complete,pending,
